DATA,VERSIONS,NODE,SOFTWARE VERSION,WORKFLOW VERSION,STATUS
03-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/vbgf/202001/20200103-072311-7e2df179b338b4257a1f8a9f9816b3110afbb349/20200103-072311-7e2df179b338b4257a1f8a9f9816b3110afbb349.tar.gz,,Success
06-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/vbgf/202001/20200106-094529-34a3c1a1810261f6fae59e8e659cafeab74989ba/20200106-094529-34a3c1a1810261f6fae59e8e659cafeab74989ba.tar.gz,,Success
06-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/vbgf/202001/20200106-122740-38e62597ed85bbb4ffd2f900f7b9f365871d152b/20200106-122740-38e62597ed85bbb4ffd2f900f7b9f365871d152b.tar.gz,,Success
06-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/vbgf/202001/20200103-111708-385869bae895d3dc86bf7180d0b636d8971f7303/20200103-111708-385869bae895d3dc86bf7180d0b636d8971f7303.tar.gz,,Success
07-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/vbgf/202001/20200107-065847-19e0f4c320c3c689b30a17b1d728173cb931cc82/20200107-065847-19e0f4c320c3c689b30a17b1d728173cb931cc82.tar.gz,,Success
07-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/vbgf/202001/20200107-121416-52ec8e5f7696fe85f99d764740fe7ab65aa8c904/20200107-121416-52ec8e5f7696fe85f99d764740fe7ab65aa8c904.tar.gz,,Success
07-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",MTAS,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mtas-release-local/CXP9025660_9/CANDIDATE/R19A28/4_CXP9025660_9-R19A28.ova,,Failed
07-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/vbgf/202001/20200107-102120-b286e1afb2b742a9ad98d000583a4242789bdcfc/20200107-102120-b286e1afb2b742a9ad98d000583a4242789bdcfc.tar.gz,,Success
07-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",MTAS,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mtas-release-local/CXP9025660_9/CANDIDATE/R19A28/4_CXP9025660_9-R19A28.ova,,Failed
07-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/vbgf/202001/20200107-031225-e2f51c7b94f6ffaff8f851135bac8dd958f303f3/20200107-031225-e2f51c7b94f6ffaff8f851135bac8dd958f303f3.tar.gz,,Success
09-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",MTAS,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mtas-release-local/CXP9025660_9/CANDIDATE/R19A28/4_CXP9025660_9-R19A28.ova,,Failed
09-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",MTAS,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mtas-release-local/CXP9025660_9/CANDIDATE/R19A28/4_CXP9025660_9-R19A28.ova,,Failed
09-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/vbgf/202001/20200109-120951-906d29fdcf8fd84f5eab1773f0b468eb5cfc1c5b/20200109-120951-906d29fdcf8fd84f5eab1773f0b468eb5cfc1c5b.tar.gz,,Failed
10-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/vbgf/202001/20200107-121416-52ec8e5f7696fe85f99d764740fe7ab65aa8c904/20200107-121416-52ec8e5f7696fe85f99d764740fe7ab65aa8c904.tar.gz,,Failed
10-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/vbgf/202001/20200107-121416-52ec8e5f7696fe85f99d764740fe7ab65aa8c904/20200107-121416-52ec8e5f7696fe85f99d764740fe7ab65aa8c904.tar.gz,,Failed
10-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/vbgf/202001/20200107-121416-52ec8e5f7696fe85f99d764740fe7ab65aa8c904/20200107-121416-52ec8e5f7696fe85f99d764740fe7ab65aa8c904.tar.gz,,Failed
10-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/vbgf/202001/20200107-121416-52ec8e5f7696fe85f99d764740fe7ab65aa8c904/20200107-121416-52ec8e5f7696fe85f99d764740fe7ab65aa8c904.tar.gz,,Failed
10-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",MTAS,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mtas-release-local/CXP9025660_9/CANDIDATE/R19A28/4_CXP9025660_9-R19A28.ova,,Failed
10-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/vbgf/202001/20200109-090900-b4e885c001e420040f7baa0525afa117c4543276/20200109-090900-b4e885c001e420040f7baa0525afa117c4543276.tar.gz,,Failed
10-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/vbgf/202001/20200109-120951-906d29fdcf8fd84f5eab1773f0b468eb5cfc1c5b/20200109-120951-906d29fdcf8fd84f5eab1773f0b468eb5cfc1c5b.tar.gz,,Failed
13-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/vbgf/202001/20200110-141241-2c64ab5a7b0636cec9c183e323c3e61dac6f897e/20200110-141241-2c64ab5a7b0636cec9c183e323c3e61dac6f897e.tar.gz,,Failed
13-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,"${trigger[""properties""][""bgf_url""]}",,Failed
13-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,"${trigger[""properties""][""bgf_url""]}",,Success
13-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/vbgf/202001/20200113-111102-531f46df9265d20092af081bf221d72f97ed5c26/20200113-111102-531f46df9265d20092af081bf221d72f97ed5c26.tar.gz,,Failed
13-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/vbgf/202001/20200113-111102-531f46df9265d20092af081bf221d72f97ed5c26/20200113-111102-531f46df9265d20092af081bf221d72f97ed5c26.tar.gz,,Failed
13-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,"${trigger[""properties""][""bgf_url""]}",,Success
13-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/vbgf/202001/20200113-111102-531f46df9265d20092af081bf221d72f97ed5c26/20200113-111102-531f46df9265d20092af081bf221d72f97ed5c26.tar.gz,,Failed
13-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/vbgf/202001/20200113-111102-531f46df9265d20092af081bf221d72f97ed5c26/20200113-111102-531f46df9265d20092af081bf221d72f97ed5c26.tar.gz,,Failed
13-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,"${trigger[""properties""][""bgf_url""]}",,Success
13-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,"${trigger[""properties""][""bgf_url""]}",,Failed
13-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",SBG,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/sbc-sbg/202001/20200113-012241-d5c9f2059cc02b93853bdc69d240b811933c651b/20200113-012241-d5c9f2059cc02b93853bdc69d240b811933c651b.tar,,Failed
13-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,"${trigger[""properties""][""bgf_url""]}",,Failed
13-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,"${trigger[""properties""][""bgf_url""]}",,Failed
13-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/vbgf/202001/20200113-075204-2a2f4a7fd5d38254fb9fdf0e3d712793d03e671c/20200113-075204-2a2f4a7fd5d38254fb9fdf0e3d712793d03e671c.tar.gz,,Failed
14-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,"${trigger[""properties""][""bgf_url""]}",,Success
14-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/vbgf/202001/20200114-023224-290a0323af71aa542bb290157a8118487445972b/20200114-023224-290a0323af71aa542bb290157a8118487445972b.tar.gz,,Success
14-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",SBG,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/sbc-sbg/202001/20200113-094615-0f5deec0ad8143fe45946a097eb94db10686afa6/20200113-094615-0f5deec0ad8143fe45946a097eb94db10686afa6.tar,,Failed
14-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,"${trigger[""properties""][""bgf_url""]}",,Success
14-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",SBG,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/sbc-sbg/202001/20200113-133940-b2911d8861e7f7e5871a69e9b3856f5dd8111c3d/20200113-133940-b2911d8861e7f7e5871a69e9b3856f5dd8111c3d.tar,,Success
14-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",CSCF,https://arm.rnd.ki.sw.ericsson.se/artifactory/proj-cscf-release-local/com/ericsson/cba/vcscf/vcscf/1.13.0-1/vCSCF_1.13.0-1.tar.gz,http://gask2web.ericsson.se/pub/get?docno=19010-CXP9034720/1&amp;HighestFree=Y&amp;HighestNotPRev=Y&amp;Format=TAR_GZIPV1,Failed
